Area_Part,Date_Quarter,Price_Index,,,
"Toronto, Ontario",Q2 2022,138.3,,,
"Toronto, Ontario",Q2 2023,138.2,,,
"Toronto, Ontario",Q3 2017,100.8,,,
"Toronto, Ontario",Q3 2018,105.7,,,
"Toronto, Ontario",Q3 2019,108.2,,,
"Toronto, Ontario",Q3 2020,129.7,,,
"Toronto, Ontario",Q3 2021,134.8,,,
"Toronto, Ontario",Q3 2022,139.1,,,
"Toronto, Ontario",Q3 2023,138.1,,,
"Toronto, Ontario",Q4 2017,102.7,,,
"Toronto, Ontario",Q4 2018,109.3,,,
"Toronto, Ontario",Q4 2019,116.3,,,
"Toronto, Ontario",Q4 2020,129.1,,,
"Toronto, Ontario",Q4 2021,138,,,
"Toronto, Ontario",Q4 2022,139.1,,,
"Toronto, Ontario",Q4 2023,136.5,,,
"Vancouver, British Columbia",Q1 2017,91.6,,,
"Vancouver, British Columbia",Q1 2018,103.7,,,
"Vancouver, British Columbia",Q1 2019,108.9,,,
"Vancouver, British Columbia",Q1 2020,109.2,,,
"Vancouver, British Columbia",Q1 2021,110.8,,,
"Vancouver, British Columbia",Q1 2022,119.6,,,
"Vancouver, British Columbia",Q1 2023,121.4,,,
"Vancouver, British Columbia",Q2 2017,95.4,,,
"Vancouver, British Columbia",Q2 2018,101.7,,,
"Vancouver, British Columbia",Q2 2019,107.2,,,
"Vancouver, British Columbia",Q2 2020,111.2,,,
"Vancouver, British Columbia",Q2 2021,111.9,,,
"Vancouver, British Columbia",Q2 2022,124,,,
"Vancouver, British Columbia",Q2 2023,119.3,,,
"Vancouver, British Columbia",Q3 2017,104,,,
"Vancouver, British Columbia",Q3 2018,104.6,,,
"Vancouver, British Columbia",Q3 2019,105.1,,,
"Vancouver, British Columbia",Q3 2020,111.4,,,
"Vancouver, British Columbia",Q3 2021,112.8,,,
"Vancouver, British Columbia",Q3 2022,121.9,,,
"Vancouver, British Columbia",Q3 2023,119.7,,,
"Vancouver, British Columbia",Q4 2017,109,,,
"Vancouver, British Columbia",Q4 2018,106,,,
"Vancouver, British Columbia",Q4 2019,104.3,,,
"Vancouver, British Columbia",Q4 2020,110.8,,,
"Vancouver, British Columbia",Q4 2021,115.2,,,
"Vancouver, British Columbia",Q4 2022,121.7,,,
"Vancouver, British Columbia",Q4 2023,115.7,,,
"Victoria, British Columbia",Q1 2017,96,,,
"Victoria, British Columbia",Q1 2018,104.9,,,
"Victoria, British Columbia",Q1 2019,119.4,,,
"Victoria, British Columbia",Q1 2020,141.3,,,
"Victoria, British Columbia",Q1 2021,142.3,,,
"Victoria, British Columbia",Q1 2022,145.7,,,
"Victoria, British Columbia",Q1 2023,140.7,,,
"Victoria, British Columbia",Q2 2017,97.3,,,
"Victoria, British Columbia",Q2 2018,108,,,
"Victoria, British Columbia",Q2 2019,129.2,,,
"Victoria, British Columbia",Q2 2020,141.7,,,
"Victoria, British Columbia",Q2 2021,142.6,,,
"Victoria, British Columbia",Q2 2022,146.4,,,
"Victoria, British Columbia",Q2 2023,138.1,,,
"Victoria, British Columbia",Q3 2017,102.6,,,
"Victoria, British Columbia",Q3 2018,114,,,
"Victoria, British Columbia",Q3 2019,130.3,,,
"Victoria, British Columbia",Q3 2020,139.9,,,
"Victoria, British Columbia",Q3 2021,145.3,,,
"Victoria, British Columbia",Q3 2022,144.5,,,
"Victoria, British Columbia",Q3 2023,140.4,,,
"Victoria, British Columbia",Q4 2017,104,,,
"Victoria, British Columbia",Q4 2018,118.8,,,
"Victoria, British Columbia",Q4 2019,137.9,,,
"Victoria, British Columbia",Q4 2020,139.3,,,
"Victoria, British Columbia",Q4 2021,143.8,,,
"Victoria, British Columbia",Q4 2022,144.2,,,
"Victoria, British Columbia",Q4 2023,142.9,,,
